Sequence id,Meter,Date in meter,Connection Status
965111663,0010035F,09-02-2016 14:02,Connected
965138447,0010035F,09-02-2016 14:07,Disconnected
965140587,0010035F,09-02-2016 14:07,Connected
965166655,0010035F,09-02-2016 14:12,Disconnected
965169043,0010035F,09-02-2016 14:13,Connected
965195483,0010035F,09-02-2016 14:18,Disconnected
965197711,0010035F,09-02-2016 14:18,Connected
965224603,0010035F,09-02-2016 14:24,Disconnected
965227111,0010035F,09-02-2016 14:24,Connected
965253519,0010035F,09-02-2016 14:29,Disconnected
965255783,0010035F,09-02-2016 14:29,Connected
965283039,0010035F,09-02-2016 14:34,Disconnected
965285411,0010035F,09-02-2016 14:35,Connected
965312223,0010035F,09-02-2016 14:40,Disconnected
965314075,0010035F,09-02-2016 14:40,Connected
965336179,0010035F,09-02-2016 14:46,Disconnected
965338299,0010035F,09-02-2016 14:46,Connected
965359491,0010035F,09-02-2016 14:51,Disconnected
965361671,0010035F,09-02-2016 14:52,Connected
965385007,0010035F,09-02-2016 14:57,Disconnected
965387155,0010035F,09-02-2016 14:57,Connected
965414719,0010035F,09-02-2016 15:02,Disconnected
969191659,0010035F,10-02-2016 14:53,Connected
969214543,0010035F,10-02-2016 14:58,Disconnected
969216951,0010035F,10-02-2016 14:58,Connected
969243811,0010035F,10-02-2016 15:03,Disconnected
969246259,0010035F,10-02-2016 15:04,Connected
969273247,0010035F,10-02-2016 15:09,Disconnected
969275735,0010035F,10-02-2016 15:09,Connected
969303103,0010035F,10-02-2016 15:14,Disconnected
969305439,0010035F,10-02-2016 15:15,Connected
969332055,0010035F,10-02-2016 15:20,Disconnected
969334443,0010035F,10-02-2016 15:20,Connected
969361455,0010035F,10-02-2016 15:25,Disconnected
969363911,0010035F,10-02-2016 15:26,Connected
969390467,0010035F,10-02-2016 15:31,Disconnected
969392755,0010035F,10-02-2016 15:31,Connected
969420587,0010035F,10-02-2016 15:36,Disconnected
969422863,0010035F,10-02-2016 15:37,Connected
969462795,0010035F,10-02-2016 15:45,Disconnected
969464855,0010035F,10-02-2016 15:46,Connected
969485687,0010035F,10-02-2016 15:51,Disconnected
969487731,0010035F,10-02-2016 15:51,Connected
969509979,0010035F,10-02-2016 15:56,Disconnected
969512163,0010035F,10-02-2016 15:57,Connected
969538799,0010035F,10-02-2016 16:02,Disconnected
969541231,0010035F,10-02-2016 16:02,Connected
969567991,0010035F,10-02-2016 16:07,Disconnected
969570259,0010035F,10-02-2016 16:08,Connected
969595935,0010035F,10-02-2016 16:13,Disconnected
969598303,0010035F,10-02-2016 16:13,Connected
969623883,0010035F,10-02-2016 16:18,Disconnected
969626015,0010035F,10-02-2016 16:19,Connected
969651539,0010035F,10-02-2016 16:24,Disconnected
969653639,0010035F,10-02-2016 16:24,Connected
969678655,0010035F,10-02-2016 16:29,Disconnected
969680843,0010035F,10-02-2016 16:29,Connected
969705623,0010035F,10-02-2016 16:35,Disconnected
969708031,0010035F,10-02-2016 16:35,Connected
969731463,0010035F,10-02-2016 16:40,Disconnected
969733147,0010035F,10-02-2016 16:40,Connected
969751575,0010035F,10-02-2016 16:46,Disconnected
969753147,0010035F,10-02-2016 16:46,Connected
969770599,0010035F,10-02-2016 16:51,Disconnected
969772151,0010035F,10-02-2016 16:51,Connected
969790451,0010035F,10-02-2016 16:56,Disconnected
969792279,0010035F,10-02-2016 16:57,Connected
969813759,0010035F,10-02-2016 17:02,Disconnected
969815559,0010035F,10-02-2016 17:02,Connected
969836815,0010035F,10-02-2016 17:08,Disconnected
969838439,0010035F,10-02-2016 17:08,Connected
969858315,0010035F,10-02-2016 17:13,Disconnected
969860143,0010035F,10-02-2016 17:13,Connected
969879055,0010035F,10-02-2016 17:18,Disconnected
969880631,0010035F,10-02-2016 17:19,Connected
969898735,0010035F,10-02-2016 17:24,Disconnected
977080555,0010035F,12-02-2016 15:37,Connected
