Sequence id,Meter,Date in meter,Connection Status
1057639883,001000D9,04-03-2016 09:19,Connected
1057641627,001000D9,04-03-2016 09:20,Disconnected
1057650107,001000D9,04-03-2016 09:22,Connected
1057724547,001000D9,04-03-2016 09:43,Disconnected
1072944655,001000D9,08-03-2016 07:15,Connected
1072995511,001000D9,08-03-2016 07:31,Disconnected
1073004139,001000D9,08-03-2016 07:33,Connected
1073061527,001000D9,08-03-2016 07:52,Disconnected
1073075295,001000D9,08-03-2016 07:57,Connected
1075665123,001000D9,08-03-2016 22:26,Disconnected
1076536703,001000D9,09-03-2016 05:47,Connected
962717587,001004DC,09-02-2016 00:13,Disconnected
962718051,001004DC,09-02-2016 00:14,Connected
966555219,001004DC,09-02-2016 22:30,Disconnected
966559847,001004DC,09-02-2016 22:31,Connected
966671699,001004DC,10-02-2016 00:12,Disconnected
966672143,001004DC,10-02-2016 00:13,Connected
970330231,001004DC,10-02-2016 21:57,Connected
970330227,001004DC,10-02-2016 21:57,Disconnected
970370743,001004DC,10-02-2016 22:30,Disconnected
970374077,001004DC,10-02-2016 22:31,Connected
970396875,001004DC,10-02-2016 22:53,Disconnected
970398303,001004DC,10-02-2016 22:53,Connected
970423539,001004DC,10-02-2016 23:13,Connected
970423531,001004DC,10-02-2016 23:13,Disconnected
970515827,001004DC,11-02-2016 00:35,Disconnected
970516295,001004DC,11-02-2016 00:35,Connected
973987871,001004DC,11-02-2016 19:25,Disconnected
975475127,001004DC,12-02-2016 08:27,Connected
978054747,001004DC,12-02-2016 22:30,Disconnected
978056923,001004DC,12-02-2016 22:31,Connected
979251581,001004DC,13-02-2016 07:48,Disconnected
979496887,001004DC,13-02-2016 09:04,Connected
979899531,001004DC,13-02-2016 11:08,Disconnected
979900971,001004DC,13-02-2016 11:08,Connected
980991787,001004DC,13-02-2016 15:38,Disconnected
980993983,001004DC,13-02-2016 15:38,Connected
981924311,001004DC,13-02-2016 22:30,Disconnected
981927695,001004DC,13-02-2016 22:31,Connected
982421167,001004DC,14-02-2016 03:38,Disconnected
982422455,001004DC,14-02-2016 03:38,Connected
985938267,001004DC,14-02-2016 22:30,Disconnected
985946227,001004DC,14-02-2016 22:32,Connected
989714675,001004DC,15-02-2016 22:30,Disconnected
989718599,001004DC,15-02-2016 22:31,Connected
989883839,001004DC,16-02-2016 00:53,Disconnected
989884371,001004DC,16-02-2016 00:53,Connected
993367099,001004DC,16-02-2016 20:08,Disconnected
993367679,001004DC,16-02-2016 20:08,Connected
993527083,001004DC,16-02-2016 22:27,Connected
993527075,001004DC,16-02-2016 22:27,Disconnected
993532415,001004DC,16-02-2016 22:30,Disconnected
993536995,001004DC,16-02-2016 22:31,Connected
993561787,001004DC,16-02-2016 22:52,Disconnected
993563371,001004DC,16-02-2016 22:53,Connected
994069547,001004DC,17-02-2016 03:58,Disconnected
994070511,001004DC,17-02-2016 03:58,Connected
997281039,001004DC,17-02-2016 22:30,Disconnected
997287519,001004DC,17-02-2016 22:32,Connected
1001130679,001004DC,18-02-2016 22:30,Disconnected
1001133715,001004DC,18-02-2016 22:31,Connected
1001266091,001004DC,19-02-2016 00:32,Disconnected
1001267199,001004DC,19-02-2016 00:33,Connected
1004925459,001004DC,19-02-2016 22:30,Disconnected
1004926963,001004DC,19-02-2016 22:31,Connected
1008819315,001004DC,20-02-2016 22:30,Disconnected
1008823217,001004DC,20-02-2016 22:31,Connected
1010015115,001004DC,21-02-2016 07:28,Disconnected
1010025867,001004DC,21-02-2016 07:31,Connected
1010220315,001004DC,21-02-2016 08:28,Disconnected
1010224635,001004DC,21-02-2016 08:29,Connected
1012714391,001004DC,21-02-2016 22:30,Disconnected
1012716395,001004DC,21-02-2016 22:31,Connected
1016469571,001004DC,22-02-2016 22:30,Disconnected
1016473911,001004DC,22-02-2016 22:31,Connected
1017722751,001004DC,23-02-2016 08:08,Disconnected
1017723439,001004DC,23-02-2016 08:08,Connected
1020348015,001004DC,23-02-2016 22:30,Disconnected
1020353363,001004DC,23-02-2016 22:31,Connected
1020687643,001004DC,24-02-2016 01:58,Disconnected
1020688599,001004DC,24-02-2016 01:58,Connected
1021313447,001004DC,24-02-2016 05:39,Disconnected
1021403291,001004DC,24-02-2016 05:39,Disconnected
1021419451,001004DC,24-02-2016 05:39,Disconnected
1021387127,001004DC,24-02-2016 05:39,Disconnected
1021356847,001004DC,24-02-2016 05:40,Disconnected
1021342419,001004DC,24-02-2016 05:40,Disconnected
1021371259,001004DC,24-02-2016 05:40,Disconnected
1021328055,001004DC,24-02-2016 05:40,Disconnected
1021427703,001004DC,24-02-2016 05:43,Connected
1022072323,001004DC,24-02-2016 08:41,Disconnected
1022052103,001004DC,24-02-2016 08:41,Disconnected
1022032291,001004DC,24-02-2016 08:42,Disconnected
1022013947,001004DC,24-02-2016 08:42,Disconnected
1022160803,001004DC,24-02-2016 09:00,Disconnected
1022125539,001004DC,24-02-2016 09:00,Disconnected
1022125991,001004DC,24-02-2016 09:00,Connected
1022755875,001004DC,24-02-2016 11:44,Disconnected
1022805871,001004DC,24-02-2016 11:44,Disconnected
1022739207,001004DC,24-02-2016 11:44,Disconnected
1022789207,001004DC,24-02-2016 11:45,Disconnected
1022772547,001004DC,24-02-2016 11:45,Disconnected
1022705915,001004DC,24-02-2016 11:45,Disconnected
1022722563,001004DC,24-02-2016 11:45,Disconnected
1022821295,001004DC,24-02-2016 11:49,Connected
1022901159,001004DC,24-02-2016 12:18,Disconnected
1022953579,001004DC,24-02-2016 12:22,Connected
1024787059,001004DC,24-02-2016 22:30,Disconnected
1024790007,001004DC,24-02-2016 22:31,Connected
1028693963,001004DC,25-02-2016 22:30,Disconnected
1028695607,001004DC,25-02-2016 22:31,Connected
1030670015,001004DC,26-02-2016 11:05,Disconnected
1030598207,001004DC,26-02-2016 11:05,Disconnected
1030634127,001004DC,26-02-2016 11:05,Disconnected
1030651391,001004DC,26-02-2016 11:05,Disconnected
1030579623,001004DC,26-02-2016 11:05,Disconnected
1030687383,001004DC,26-02-2016 11:05,Disconnected
1030615475,001004DC,26-02-2016 11:05,Disconnected
1030704339,001004DC,26-02-2016 11:07,Disconnected
1032721887,001004DC,26-02-2016 22:30,Disconnected
1032727303,001004DC,26-02-2016 22:32,Connected
1036639011,001004DC,27-02-2016 22:30,Disconnected
1036642679,001004DC,27-02-2016 22:31,Connected
1036655043,001004DC,27-02-2016 22:42,Disconnected
1036661107,001004DC,27-02-2016 22:44,Connected
1037799443,001004DC,28-02-2016 07:17,Connected
1037799439,001004DC,28-02-2016 07:17,Disconnected
1040569813,001004DC,28-02-2016 22:30,Disconnected
1040575391,001004DC,28-02-2016 22:31,Connected
1044465631,001004DC,29-02-2016 22:30,Disconnected
1044467279,001004DC,29-02-2016 22:31,Connected
1048342419,001004DC,01-03-2016 22:30,Disconnected
1048347663,001004DC,01-03-2016 22:31,Connected
1052220947,001004DC,02-03-2016 22:30,Disconnected
1052222483,001004DC,02-03-2016 22:31,Connected
1056095731,001004DC,03-03-2016 22:30,Disconnected
1056101347,001004DC,03-03-2016 22:31,Connected
1060002227,001004DC,04-03-2016 22:30,Disconnected
1060004511,001004DC,04-03-2016 22:31,Connected
1063867723,001004DC,05-03-2016 22:30,Disconnected
1063873363,001004DC,05-03-2016 22:31,Connected
1065036799,001004DC,06-03-2016 07:25,Connected
1065036795,001004DC,06-03-2016 07:25,Disconnected
1067891959,001004DC,06-03-2016 22:30,Disconnected
1067896615,001004DC,06-03-2016 22:31,Connected
1071834667,001004DC,07-03-2016 22:30,Disconnected
1071839147,001004DC,07-03-2016 22:31,Connected
1075673179,001004DC,08-03-2016 22:30,Disconnected
1075675139,001004DC,08-03-2016 22:31,Connected
978063399,0010052E,12-02-2016 22:34,Connected
979817003,0010052E,13-02-2016 10:39,Disconnected
979818215,0010052E,13-02-2016 10:40,Connected
981923395,0010052E,13-02-2016 22:30,Disconnected
989725115,0010052E,15-02-2016 22:34,Connected
990831399,0010052E,16-02-2016 07:29,Disconnected
1000933531,0010052E,18-02-2016 19:30,Connected
1001130427,0010052E,18-02-2016 22:30,Disconnected
1004933343,0010052E,19-02-2016 22:34,Connected
1006702555,0010052E,20-02-2016 10:39,Disconnected
1006703823,0010052E,20-02-2016 10:40,Connected
1008820723,0010052E,20-02-2016 22:30,Disconnected
1008828007,0010052E,20-02-2016 22:34,Connected
1010402639,0010052E,21-02-2016 09:19,Disconnected
1025597259,0010052E,25-02-2016 05:30,Connected
1028258507,0010052E,25-02-2016 17:39,Disconnected
1028259603,0010052E,25-02-2016 17:40,Connected
1028691047,0010052E,25-02-2016 22:30,Disconnected
1032730931,0010052E,26-02-2016 22:34,Connected
1034516671,0010052E,27-02-2016 10:39,Disconnected
1034517999,0010052E,27-02-2016 10:40,Connected
1034726039,0010052E,27-02-2016 11:49,Disconnected
1048353827,0010052E,01-03-2016 22:34,Connected
1050130147,0010052E,02-03-2016 10:39,Disconnected
1050131347,0010052E,02-03-2016 10:40,Connected
1052220999,0010052E,02-03-2016 22:30,Disconnected
967330539,001007DB,10-02-2016 05:28,Connected
967344327,001007DB,10-02-2016 05:34,Disconnected
967345503,001007DB,10-02-2016 05:34,Connected
967358963,001007DB,10-02-2016 05:39,Disconnected
967360119,001007DB,10-02-2016 05:40,Connected
967380731,001007DB,10-02-2016 05:49,Disconnected
967381623,001007DB,10-02-2016 05:50,Connected
967393139,001007DB,10-02-2016 05:55,Disconnected
967394139,001007DB,10-02-2016 05:55,Connected
967407663,001007DB,10-02-2016 06:00,Disconnected
967408679,001007DB,10-02-2016 06:01,Connected
967422947,001007DB,10-02-2016 06:06,Disconnected
967424179,001007DB,10-02-2016 06:07,Connected
967437455,001007DB,10-02-2016 06:12,Disconnected
967438503,001007DB,10-02-2016 06:12,Connected
967452079,001007DB,10-02-2016 06:17,Disconnected
967453063,001007DB,10-02-2016 06:18,Connected
967466487,001007DB,10-02-2016 06:23,Disconnected
967467523,001007DB,10-02-2016 06:23,Connected
967481331,001007DB,10-02-2016 06:28,Disconnected
967495843,001007DB,10-02-2016 06:33,Connected
967509855,001007DB,10-02-2016 06:39,Disconnected
967511039,001007DB,10-02-2016 06:39,Connected
967523027,001007DB,10-02-2016 06:44,Disconnected
967524019,001007DB,10-02-2016 06:45,Connected
967535907,001007DB,10-02-2016 06:50,Disconnected
967536767,001007DB,10-02-2016 06:50,Connected
967549619,001007DB,10-02-2016 06:56,Connected
967549611,001007DB,10-02-2016 06:56,Disconnected
967563723,001007DB,10-02-2016 07:01,Disconnected
967564759,001007DB,10-02-2016 07:01,Connected
967580107,001007DB,10-02-2016 07:06,Disconnected
967581147,001007DB,10-02-2016 07:07,Connected
967595367,001007DB,10-02-2016 07:12,Disconnected
967596659,001007DB,10-02-2016 07:12,Connected
967611947,001007DB,10-02-2016 07:17,Disconnected
967613099,001007DB,10-02-2016 07:18,Connected
967628347,001007DB,10-02-2016 07:23,Disconnected
967629831,001007DB,10-02-2016 07:23,Connected
967645243,001007DB,10-02-2016 07:28,Disconnected
967662391,001007DB,10-02-2016 07:34,Connected
967680007,001007DB,10-02-2016 07:39,Disconnected
967680011,001007DB,10-02-2016 07:39,Connected
967694023,001007DB,10-02-2016 07:45,Connected
967694019,001007DB,10-02-2016 07:45,Disconnected
967707111,001007DB,10-02-2016 07:50,Disconnected
967708219,001007DB,10-02-2016 07:50,Connected
967722067,001007DB,10-02-2016 07:55,Disconnected
967723331,001007DB,10-02-2016 07:56,Connected
967739287,001007DB,10-02-2016 08:01,Disconnected
967740659,001007DB,10-02-2016 08:01,Connected
967757303,001007DB,10-02-2016 08:07,Disconnected
967758619,001007DB,10-02-2016 08:07,Connected
967776555,001007DB,10-02-2016 08:12,Connected
967776547,001007DB,10-02-2016 08:12,Disconnected
967793763,001007DB,10-02-2016 08:17,Disconnected
967795127,001007DB,10-02-2016 08:18,Connected
967812419,001007DB,10-02-2016 08:23,Disconnected
967813803,001007DB,10-02-2016 08:23,Connected
967831079,001007DB,10-02-2016 08:28,Disconnected
967832419,001007DB,10-02-2016 08:29,Connected
967849671,001007DB,10-02-2016 08:34,Disconnected
967851063,001007DB,10-02-2016 08:34,Connected
967868287,001007DB,10-02-2016 08:40,Disconnected
967869547,001007DB,10-02-2016 08:40,Connected
967896123,001007DB,10-02-2016 08:49,Disconnected
967897223,001007DB,10-02-2016 08:50,Connected
967911579,001007DB,10-02-2016 08:55,Disconnected
967912831,001007DB,10-02-2016 08:55,Connected
967930231,001007DB,10-02-2016 09:00,Disconnected
967931599,001007DB,10-02-2016 09:01,Connected
967949859,001007DB,10-02-2016 09:06,Disconnected
967951143,001007DB,10-02-2016 09:06,Connected
967968591,001007DB,10-02-2016 09:11,Disconnected
967970035,001007DB,10-02-2016 09:12,Connected
967988131,001007DB,10-02-2016 09:17,Disconnected
967989491,001007DB,10-02-2016 09:17,Connected
968006571,001007DB,10-02-2016 09:22,Disconnected
968008155,001007DB,10-02-2016 09:23,Connected
968025559,001007DB,10-02-2016 09:28,Disconnected
968026747,001007DB,10-02-2016 09:28,Connected
968044043,001007DB,10-02-2016 09:34,Disconnected
968045987,001007DB,10-02-2016 09:34,Connected
968064671,001007DB,10-02-2016 09:40,Connected
968064667,001007DB,10-02-2016 09:40,Disconnected
968091123,001007DB,10-02-2016 09:49,Disconnected
968092279,001007DB,10-02-2016 09:50,Connected
968106299,001007DB,10-02-2016 09:55,Disconnected
968107599,001007DB,10-02-2016 09:55,Connected
968124387,001007DB,10-02-2016 10:00,Disconnected
968125603,001007DB,10-02-2016 10:01,Connected
968143431,001007DB,10-02-2016 10:06,Disconnected
968144575,001007DB,10-02-2016 10:06,Connected
968161155,001007DB,10-02-2016 10:12,Disconnected
968162499,001007DB,10-02-2016 10:12,Connected
968179247,001007DB,10-02-2016 10:17,Disconnected
968180467,001007DB,10-02-2016 10:17,Connected
968196827,001007DB,10-02-2016 10:22,Disconnected
968198199,001007DB,10-02-2016 10:23,Connected
968214711,001007DB,10-02-2016 10:28,Disconnected
968215907,001007DB,10-02-2016 10:28,Connected
968232291,001007DB,10-02-2016 10:33,Disconnected
968233595,001007DB,10-02-2016 10:34,Connected
968249679,001007DB,10-02-2016 10:39,Disconnected
968250995,001007DB,10-02-2016 10:39,Connected
968276711,001007DB,10-02-2016 10:49,Disconnected
968277563,001007DB,10-02-2016 10:50,Connected
968290887,001007DB,10-02-2016 10:55,Disconnected
968292015,001007DB,10-02-2016 10:55,Connected
968307875,001007DB,10-02-2016 11:00,Disconnected
968308979,001007DB,10-02-2016 11:01,Connected
968326123,001007DB,10-02-2016 11:06,Disconnected
968327203,001007DB,10-02-2016 11:06,Connected
968343063,001007DB,10-02-2016 11:12,Disconnected
968344263,001007DB,10-02-2016 11:12,Connected
968360923,001007DB,10-02-2016 11:17,Disconnected
968362099,001007DB,10-02-2016 11:18,Connected
968378463,001007DB,10-02-2016 11:23,Disconnected
968379747,001007DB,10-02-2016 11:23,Connected
968396111,001007DB,10-02-2016 11:28,Disconnected
968397315,001007DB,10-02-2016 11:29,Connected
968413863,001007DB,10-02-2016 11:34,Disconnected
968415079,001007DB,10-02-2016 11:34,Connected
968431243,001007DB,10-02-2016 11:39,Disconnected
968432475,001007DB,10-02-2016 11:40,Connected
968457679,001007DB,10-02-2016 11:49,Disconnected
968458693,001007DB,10-02-2016 11:50,Connected
968472483,001007DB,10-02-2016 11:55,Disconnected
968473651,001007DB,10-02-2016 11:55,Connected
968489587,001007DB,10-02-2016 12:00,Disconnected
968490787,001007DB,10-02-2016 12:01,Connected
968508303,001007DB,10-02-2016 12:06,Disconnected
968509631,001007DB,10-02-2016 12:06,Connected
968525839,001007DB,10-02-2016 12:11,Disconnected
968527175,001007DB,10-02-2016 12:12,Connected
968544431,001007DB,10-02-2016 12:17,Disconnected
968545675,001007DB,10-02-2016 12:17,Connected
968562919,001007DB,10-02-2016 12:23,Disconnected
968564171,001007DB,10-02-2016 12:23,Connected
968581851,001007DB,10-02-2016 12:28,Disconnected
968583171,001007DB,10-02-2016 12:28,Connected
968601379,001007DB,10-02-2016 12:34,Disconnected
968602891,001007DB,10-02-2016 12:34,Connected
968620819,001007DB,10-02-2016 12:39,Disconnected
968622263,001007DB,10-02-2016 12:39,Connected
968651923,001007DB,10-02-2016 12:49,Disconnected
968652983,001007DB,10-02-2016 12:50,Connected
968669075,001007DB,10-02-2016 12:55,Disconnected
968670483,001007DB,10-02-2016 12:55,Connected
968689311,001007DB,10-02-2016 13:00,Disconnected
968690775,001007DB,10-02-2016 13:01,Connected
968711371,001007DB,10-02-2016 13:06,Disconnected
968712859,001007DB,10-02-2016 13:06,Connected
968732523,001007DB,10-02-2016 13:11,Disconnected
968734179,001007DB,10-02-2016 13:12,Connected
968755419,001007DB,10-02-2016 13:17,Disconnected
968757015,001007DB,10-02-2016 13:17,Connected
968778231,001007DB,10-02-2016 13:22,Disconnected
968780079,001007DB,10-02-2016 13:23,Connected
968802131,001007DB,10-02-2016 13:28,Disconnected
968803851,001007DB,10-02-2016 13:28,Connected
968826575,001007DB,10-02-2016 13:33,Disconnected
968828639,001007DB,10-02-2016 13:34,Connected
968852103,001007DB,10-02-2016 13:39,Disconnected
968854035,001007DB,10-02-2016 13:39,Connected
968892307,001007DB,10-02-2016 13:49,Disconnected
968893743,001007DB,10-02-2016 13:50,Connected
968914083,001007DB,10-02-2016 13:55,Disconnected
968915811,001007DB,10-02-2016 13:55,Connected
968940339,001007DB,10-02-2016 14:00,Disconnected
968942043,001007DB,10-02-2016 14:01,Connected
968968143,001007DB,10-02-2016 14:06,Disconnected
968969803,001007DB,10-02-2016 14:06,Connected
968994675,001007DB,10-02-2016 14:11,Disconnected
968996563,001007DB,10-02-2016 14:12,Connected
969023063,001007DB,10-02-2016 14:17,Disconnected
969024971,001007DB,10-02-2016 14:17,Connected
969050799,001007DB,10-02-2016 14:23,Disconnected
969052815,001007DB,10-02-2016 14:23,Connected
969078971,001007DB,10-02-2016 14:28,Disconnected
969081003,001007DB,10-02-2016 14:28,Connected
969106811,001007DB,10-02-2016 14:34,Disconnected
969109043,001007DB,10-02-2016 14:34,Connected
969135275,001007DB,10-02-2016 14:39,Disconnected
969137427,001007DB,10-02-2016 14:40,Connected
969177811,001007DB,10-02-2016 14:49,Disconnected
969179283,001007DB,10-02-2016 14:50,Connected
969200523,001007DB,10-02-2016 14:55,Disconnected
969202371,001007DB,10-02-2016 14:55,Connected
969228511,001007DB,10-02-2016 15:00,Disconnected
969230467,001007DB,10-02-2016 15:01,Connected
969259155,001007DB,10-02-2016 15:06,Disconnected
969261107,001007DB,10-02-2016 15:06,Connected
969287591,001007DB,10-02-2016 15:11,Disconnected
969289563,001007DB,10-02-2016 15:12,Connected
969317563,001007DB,10-02-2016 15:17,Disconnected
969319511,001007DB,10-02-2016 15:17,Connected
969346263,001007DB,10-02-2016 15:22,Disconnected
969348503,001007DB,10-02-2016 15:23,Connected
969375767,001007DB,10-02-2016 15:28,Disconnected
969377759,001007DB,10-02-2016 15:28,Connected
969404835,001007DB,10-02-2016 15:33,Disconnected
969407087,001007DB,10-02-2016 15:34,Connected
969434731,001007DB,10-02-2016 15:39,Disconnected
969436767,001007DB,10-02-2016 15:39,Connected
969479939,001007DB,10-02-2016 15:49,Disconnected
969481619,001007DB,10-02-2016 15:50,Connected
969503527,001007DB,10-02-2016 15:55,Disconnected
969505471,001007DB,10-02-2016 15:55,Connected
969532115,001007DB,10-02-2016 16:00,Disconnected
969534215,001007DB,10-02-2016 16:01,Connected
969561847,001007DB,10-02-2016 16:06,Disconnected
969563859,001007DB,10-02-2016 16:06,Connected
969590219,001007DB,10-02-2016 16:11,Disconnected
969592343,001007DB,10-02-2016 16:12,Connected
969619195,001007DB,10-02-2016 16:17,Disconnected
969621095,001007DB,10-02-2016 16:17,Connected
969646659,001007DB,10-02-2016 16:23,Disconnected
969648799,001007DB,10-02-2016 16:23,Connected
969674515,001007DB,10-02-2016 16:28,Disconnected
969676331,001007DB,10-02-2016 16:29,Connected
969701235,001007DB,10-02-2016 16:34,Disconnected
969703183,001007DB,10-02-2016 16:34,Connected
969727511,001007DB,10-02-2016 16:39,Disconnected
969729371,001007DB,10-02-2016 16:40,Connected
969765215,001007DB,10-02-2016 16:49,Disconnected
969766595,001007DB,10-02-2016 16:50,Connected
969784751,001007DB,10-02-2016 16:55,Disconnected
969786207,001007DB,10-02-2016 16:55,Connected
969807411,001007DB,10-02-2016 17:00,Disconnected
969808855,001007DB,10-02-2016 17:01,Connected
969830951,001007DB,10-02-2016 17:06,Disconnected
969832427,001007DB,10-02-2016 17:06,Connected
969852171,001007DB,10-02-2016 17:11,Disconnected
969853911,001007DB,10-02-2016 17:12,Connected
969874199,001007DB,10-02-2016 17:17,Disconnected
969875467,001007DB,10-02-2016 17:17,Connected
969893695,001007DB,10-02-2016 17:22,Disconnected
969895163,001007DB,10-02-2016 17:23,Connected
969913423,001007DB,10-02-2016 17:28,Disconnected
969914779,001007DB,10-02-2016 17:28,Connected
969931855,001007DB,10-02-2016 17:33,Disconnected
969933159,001007DB,10-02-2016 17:34,Connected
969949663,001007DB,10-02-2016 17:39,Disconnected
969950795,001007DB,10-02-2016 17:39,Connected
969974335,001007DB,10-02-2016 17:49,Disconnected
969975155,001007DB,10-02-2016 17:50,Connected
969986171,001007DB,10-02-2016 17:55,Disconnected
969987103,001007DB,10-02-2016 17:55,Connected
970000483,001007DB,10-02-2016 18:00,Disconnected
970001415,001007DB,10-02-2016 18:01,Connected
970015239,001007DB,10-02-2016 18:06,Disconnected
970016063,001007DB,10-02-2016 18:06,Connected
970028195,001007DB,10-02-2016 18:11,Disconnected
970029079,001007DB,10-02-2016 18:12,Connected
970041295,001007DB,10-02-2016 18:17,Disconnected
970042115,001007DB,10-02-2016 18:17,Connected
970053335,001007DB,10-02-2016 18:23,Disconnected
970054207,001007DB,10-02-2016 18:23,Connected
970064987,001007DB,10-02-2016 18:28,Disconnected
970065819,001007DB,10-02-2016 18:29,Connected
970075919,001007DB,10-02-2016 18:34,Disconnected
970076767,001007DB,10-02-2016 18:34,Connected
970086315,001007DB,10-02-2016 18:39,Disconnected
970086971,001007DB,10-02-2016 18:40,Connected
970100543,001007DB,10-02-2016 18:49,Disconnected
970100967,001007DB,10-02-2016 18:50,Connected
970107307,001007DB,10-02-2016 18:55,Disconnected
970107915,001007DB,10-02-2016 18:55,Connected
970115955,001007DB,10-02-2016 19:00,Disconnected
970116567,001007DB,10-02-2016 19:01,Connected
970124915,001007DB,10-02-2016 19:06,Disconnected
970125483,001007DB,10-02-2016 19:06,Connected
970132879,001007DB,10-02-2016 19:11,Disconnected
970133503,001007DB,10-02-2016 19:12,Connected
970141431,001007DB,10-02-2016 19:17,Disconnected
970141991,001007DB,10-02-2016 19:17,Connected
970149395,001007DB,10-02-2016 19:22,Disconnected
970150019,001007DB,10-02-2016 19:23,Connected
970157527,001007DB,10-02-2016 19:28,Disconnected
970157995,001007DB,10-02-2016 19:28,Connected
970165191,001007DB,10-02-2016 19:33,Disconnected
970165819,001007DB,10-02-2016 19:34,Connected
970172839,001007DB,10-02-2016 19:39,Disconnected
970173351,001007DB,10-02-2016 19:39,Connected
970183167,001007DB,10-02-2016 19:49,Disconnected
970183475,001007DB,10-02-2016 19:50,Connected
970188263,001007DB,10-02-2016 19:55,Disconnected
970188803,001007DB,10-02-2016 19:55,Connected
970194835,001007DB,10-02-2016 20:00,Disconnected
970195335,001007DB,10-02-2016 20:01,Connected
970202031,001007DB,10-02-2016 20:06,Disconnected
970202479,001007DB,10-02-2016 20:06,Connected
970208491,001007DB,10-02-2016 20:11,Disconnected
970208983,001007DB,10-02-2016 20:12,Connected
970215379,001007DB,10-02-2016 20:17,Disconnected
970215811,001007DB,10-02-2016 20:17,Connected
970221783,001007DB,10-02-2016 20:22,Disconnected
970222299,001007DB,10-02-2016 20:23,Connected
970228531,001007DB,10-02-2016 20:28,Disconnected
970228935,001007DB,10-02-2016 20:28,Connected
970235119,001007DB,10-02-2016 20:34,Disconnected
970235587,001007DB,10-02-2016 20:34,Connected
970241335,001007DB,10-02-2016 20:39,Disconnected
970241735,001007DB,10-02-2016 20:40,Connected
970247399,001007DB,10-02-2016 20:45,Disconnected
970247823,001007DB,10-02-2016 20:45,Connected
970253343,001007DB,10-02-2016 20:50,Disconnected
970253763,001007DB,10-02-2016 20:51,Connected
970259423,001007DB,10-02-2016 20:56,Disconnected
970259847,001007DB,10-02-2016 20:56,Connected
970265979,001007DB,10-02-2016 21:01,Disconnected
970266383,001007DB,10-02-2016 21:01,Connected
970272011,001007DB,10-02-2016 21:07,Disconnected
970272471,001007DB,10-02-2016 21:07,Connected
970278467,001007DB,10-02-2016 21:12,Disconnected
970278879,001007DB,10-02-2016 21:13,Connected
970284599,001007DB,10-02-2016 21:18,Disconnected
970285079,001007DB,10-02-2016 21:18,Connected
970290951,001007DB,10-02-2016 21:23,Disconnected
970291343,001007DB,10-02-2016 21:24,Connected
970297299,001007DB,10-02-2016 21:29,Disconnected
970297783,001007DB,10-02-2016 21:29,Connected
970302827,001007DB,10-02-2016 21:34,Disconnected
970303143,001007DB,10-02-2016 21:35,Connected
970308275,001007DB,10-02-2016 21:40,Disconnected
970308695,001007DB,10-02-2016 21:40,Connected
970313879,001007DB,10-02-2016 21:45,Disconnected
970314319,001007DB,10-02-2016 21:46,Connected
970320467,001007DB,10-02-2016 21:51,Disconnected
970321095,001007DB,10-02-2016 21:51,Connected
970329347,001007DB,10-02-2016 21:56,Disconnected
970329943,001007DB,10-02-2016 21:57,Connected
970336319,001007DB,10-02-2016 22:02,Disconnected
970336875,001007DB,10-02-2016 22:02,Connected
970342667,001007DB,10-02-2016 22:07,Disconnected
970343079,001007DB,10-02-2016 22:08,Connected
970348675,001007DB,10-02-2016 22:13,Disconnected
970349231,001007DB,10-02-2016 22:13,Connected
970354823,001007DB,10-02-2016 22:19,Disconnected
970355299,001007DB,10-02-2016 22:19,Connected
970361155,001007DB,10-02-2016 22:24,Disconnected
970361627,001007DB,10-02-2016 22:25,Connected
970369395,001007DB,10-02-2016 22:30,Disconnected
970378511,001007DB,10-02-2016 22:34,Connected
970383099,001007DB,10-02-2016 22:39,Disconnected
970383351,001007DB,10-02-2016 22:39,Connected
970389135,001007DB,10-02-2016 22:45,Disconnected
970389391,001007DB,10-02-2016 22:45,Connected
970394435,001007DB,10-02-2016 22:50,Disconnected
970394723,001007DB,10-02-2016 22:50,Connected
970404011,001007DB,10-02-2016 22:56,Disconnected
970404343,001007DB,10-02-2016 22:56,Connected
970409715,001007DB,10-02-2016 23:01,Disconnected
970410003,001007DB,10-02-2016 23:02,Connected
970416163,001007DB,10-02-2016 23:07,Disconnected
970416467,001007DB,10-02-2016 23:07,Connected
970421787,001007DB,10-02-2016 23:12,Disconnected
970422127,001007DB,10-02-2016 23:13,Connected
970429003,001007DB,10-02-2016 23:18,Disconnected
970429359,001007DB,10-02-2016 23:18,Connected
970434695,001007DB,10-02-2016 23:23,Disconnected
970435523,001007DB,10-02-2016 23:24,Connected
970441263,001007DB,10-02-2016 23:29,Disconnected
970441599,001007DB,10-02-2016 23:29,Connected
970447231,001007DB,10-02-2016 23:34,Disconnected
970447919,001007DB,10-02-2016 23:35,Connected
970453083,001007DB,10-02-2016 23:40,Disconnected
970453395,001007DB,10-02-2016 23:40,Connected
970459367,001007DB,10-02-2016 23:45,Disconnected
970459703,001007DB,10-02-2016 23:46,Connected
970465019,001007DB,10-02-2016 23:51,Disconnected
