Sequence id,Meter,Date in meter,Connection Status
963182127,00100235,09-02-2016 04:05,Connected
963191723,00100235,09-02-2016 04:09,Disconnected
963197743,00100235,09-02-2016 04:11,Connected
963212363,00100235,09-02-2016 04:16,Disconnected
963213829,00100235,09-02-2016 04:16,Connected
963227707,00100235,09-02-2016 04:21,Disconnected
963229131,00100235,09-02-2016 04:22,Connected
963243199,00100235,09-02-2016 04:27,Disconnected
963244483,00100235,09-02-2016 04:27,Connected
963258391,00100235,09-02-2016 04:32,Disconnected
963259739,00100235,09-02-2016 04:33,Connected
963274083,00100235,09-02-2016 04:38,Disconnected
963761191,00100235,09-02-2016 07:32,Connected
963778279,00100235,09-02-2016 07:37,Disconnected
963779751,00100235,09-02-2016 07:37,Connected
963795291,00100235,09-02-2016 07:42,Disconnected
963796491,00100235,09-02-2016 07:43,Connected
963810527,00100235,09-02-2016 07:48,Disconnected
963811663,00100235,09-02-2016 07:48,Connected
963831103,00100235,09-02-2016 07:55,Disconnected
963832231,00100235,09-02-2016 07:56,Connected
963867147,00100235,09-02-2016 08:06,Disconnected
963874471,00100235,09-02-2016 08:08,Connected
963892311,00100235,09-02-2016 08:13,Disconnected
964293147,00100235,09-02-2016 10:12,Connected
964311335,00100235,09-02-2016 10:17,Disconnected
964312771,00100235,09-02-2016 10:17,Connected
964330199,00100235,09-02-2016 10:22,Disconnected
964331851,00100235,09-02-2016 10:23,Connected
964348935,00100235,09-02-2016 10:28,Disconnected
964350259,00100235,09-02-2016 10:28,Connected
964367535,00100235,09-02-2016 10:33,Disconnected
964368995,00100235,09-02-2016 10:34,Connected
964385875,00100235,09-02-2016 10:39,Disconnected
964387291,00100235,09-02-2016 10:39,Connected
964401415,00100235,09-02-2016 10:44,Disconnected
964402559,00100235,09-02-2016 10:45,Connected
964415675,00100235,09-02-2016 10:50,Disconnected
964416851,00100235,09-02-2016 10:50,Connected
964431027,00100235,09-02-2016 10:55,Disconnected
964432455,00100235,09-02-2016 10:56,Connected
964448827,00100235,09-02-2016 11:01,Disconnected
964450527,00100235,09-02-2016 11:01,Connected
964468643,00100235,09-02-2016 11:07,Disconnected
964469975,00100235,09-02-2016 11:07,Connected
964486275,00100235,09-02-2016 11:12,Disconnected
964488063,00100235,09-02-2016 11:13,Connected
964504463,00100235,09-02-2016 11:18,Disconnected
964505923,00100235,09-02-2016 11:18,Connected
964522499,00100235,09-02-2016 11:23,Disconnected
964524151,00100235,09-02-2016 11:24,Connected
964540435,00100235,09-02-2016 11:29,Disconnected
964541903,00100235,09-02-2016 11:29,Connected
964558739,00100235,09-02-2016 11:34,Disconnected
964560259,00100235,09-02-2016 11:35,Connected
964576671,00100235,09-02-2016 11:40,Disconnected
964577935,00100235,09-02-2016 11:40,Connected
964591643,00100235,09-02-2016 11:45,Disconnected
964592911,00100235,09-02-2016 11:46,Connected
964618095,00100235,09-02-2016 11:55,Disconnected
964619399,00100235,09-02-2016 11:56,Connected
964635763,00100235,09-02-2016 12:01,Disconnected
964637287,00100235,09-02-2016 12:01,Connected
964654519,00100235,09-02-2016 12:06,Disconnected
964655907,00100235,09-02-2016 12:07,Connected
964672423,00100235,09-02-2016 12:12,Disconnected
964674059,00100235,09-02-2016 12:12,Connected
964691707,00100235,09-02-2016 12:17,Disconnected
964693115,00100235,09-02-2016 12:18,Connected
964710347,00100235,09-02-2016 12:23,Disconnected
964711987,00100235,09-02-2016 12:23,Connected
964729703,00100235,09-02-2016 12:28,Disconnected
964731251,00100235,09-02-2016 12:29,Connected
964749559,00100235,09-02-2016 12:34,Disconnected
968252791,00100235,10-02-2016 10:40,Connected
968266151,00100235,10-02-2016 10:45,Disconnected
968267343,00100235,10-02-2016 10:46,Connected
968291787,00100235,10-02-2016 10:55,Disconnected
968293015,00100235,10-02-2016 10:56,Connected
968308667,00100235,10-02-2016 11:01,Disconnected
968309871,00100235,10-02-2016 11:01,Connected
968326839,00100235,10-02-2016 11:06,Disconnected
968328047,00100235,10-02-2016 11:07,Connected
968343763,00100235,10-02-2016 11:12,Disconnected
968345139,00100235,10-02-2016 11:12,Connected
968361383,00100235,10-02-2016 11:17,Disconnected
968362503,00100235,10-02-2016 11:18,Connected
968378855,00100235,10-02-2016 11:23,Disconnected
968380119,00100235,10-02-2016 11:23,Connected
968396487,00100235,10-02-2016 11:28,Disconnected
968746015,00100235,10-02-2016 13:15,Connected
968782075,00100235,10-02-2016 13:23,Disconnected
968784087,00100235,10-02-2016 13:24,Connected
968806219,00100235,10-02-2016 13:29,Disconnected
968808187,00100235,10-02-2016 13:29,Connected
968831499,00100235,10-02-2016 13:34,Disconnected
968833587,00100235,10-02-2016 13:35,Connected
968856803,00100235,10-02-2016 13:40,Disconnected
968858619,00100235,10-02-2016 13:40,Connected
968877463,00100235,10-02-2016 13:45,Disconnected
968879363,00100235,10-02-2016 13:46,Connected
968915551,00100235,10-02-2016 13:55,Disconnected
968917367,00100235,10-02-2016 13:56,Connected
968941587,00100235,10-02-2016 14:01,Disconnected
968943475,00100235,10-02-2016 14:01,Connected
968969331,00100235,10-02-2016 14:06,Disconnected
968971007,00100235,10-02-2016 14:07,Connected
