Meter,Days Connected,Days Disconnected
00102087,,2016-02-16
00102087,,2016-02-17
00102087,,2016-02-18
00102087,,2016-02-19
00102087,,2016-02-20
00102087,,2016-02-21
00102087,,2016-02-22
00102087,,2016-02-23
00102087,,2016-02-24
00102087,,2016-02-25
00102087,,2016-02-26
00102087,,2016-02-27
00102087,,2016-02-28
00102087,,2016-02-29
00102087,,2016-03-01
00102087,,2016-03-02
00102087,,2016-03-03
00102087,,2016-03-04
00102087,,2016-03-05
00102087,,2016-03-06
00102087,,2016-03-07
001020A8,2016-03-09,2016-02-14
001020A8,,2016-02-15
001020A8,,2016-02-16
001020A8,,2016-02-17
001020A8,,2016-02-18
001020A8,,2016-02-19
001020A8,,2016-02-20
001020A8,,2016-02-21
001020A8,,2016-02-22
001020A8,,2016-02-23
001020A8,,2016-02-24
001020A8,,2016-02-25
001020A8,,2016-02-26
001020A8,,2016-02-27
001020A8,,2016-02-28
001020A8,,2016-02-29
001020A8,,2016-03-01
001020A8,,2016-03-02
001020A8,,2016-03-03
001020A8,,2016-03-04
001020A8,,2016-03-05
001020A8,,2016-03-06
001020A8,,2016-03-07
001020A8,,2016-03-08
001020AD,2016-02-23,2016-02-09
001020AD,2016-02-24,2016-02-10
001020AD,2016-02-25,2016-02-11
001020AD,2016-02-26,2016-02-12
001020AD,2016-02-27,2016-02-13
001020AD,2016-02-29,2016-02-14
001020AD,2016-03-03,2016-02-15
001020AD,,2016-02-16
001020AD,,2016-02-17
001020AD,,2016-02-18
001020AD,,2016-02-19
001020AD,,2016-02-20
001020AD,,2016-02-21
001020AD,,2016-02-22
001020AD,,2016-02-28
001020AD,,2016-03-01
001020AD,,2016-03-02
001020AD,,2016-03-04
001020AD,,2016-03-05
001020AD,,2016-03-06
001020AD,,2016-03-07
001020AD,,2016-03-08
001020AD,,2016-03-09
001020BF,2016-02-23,2016-02-09
001020BF,,2016-02-10
001020BF,,2016-02-11
001020BF,,2016-02-12
001020BF,,2016-02-13
001020BF,,2016-02-14
001020BF,,2016-02-15
001020BF,,2016-02-16
001020BF,,2016-02-17
001020BF,,2016-02-18
001020BF,,2016-02-19
001020BF,,2016-02-20
001020BF,,2016-02-21
001020BF,,2016-02-22
001020BF,,2016-02-24
001020BF,,2016-02-25
001020BF,,2016-02-26
001020BF,,2016-02-27
001020BF,,2016-02-28
001020BF,,2016-02-29
001020BF,,2016-03-01
001020BF,,2016-03-02
001020BF,,2016-03-03
001020BF,,2016-03-04
001020FD,2016-03-09,2016-02-11
001020FD,,2016-02-12
001020FD,,2016-02-13
001020FD,,2016-02-14
001020FD,,2016-02-15
001020FD,,2016-02-16
001020FD,,2016-02-17
001020FD,,2016-02-18
001020FD,,2016-02-19
001020FD,,2016-02-20
001020FD,,2016-02-21
001020FD,,2016-02-22
001020FD,,2016-02-23
001020FD,,2016-02-24
001020FD,,2016-02-25
001020FD,,2016-02-26
001020FD,,2016-02-27
001020FD,,2016-02-28
001020FD,,2016-02-29
001020FD,,2016-03-01
001020FD,,2016-03-02
001020FD,,2016-03-03
001020FD,,2016-03-04
001020FD,,2016-03-05
001020FD,,2016-03-06
001020FD,,2016-03-07
001020FD,,2016-03-08
00102105,2016-03-09,2016-02-11
00102105,,2016-02-12
00102105,,2016-02-13
00102105,,2016-02-14
00102105,,2016-02-15
00102105,,2016-02-16
00102105,,2016-02-17
00102105,,2016-02-18
00102105,,2016-02-19
00102105,,2016-02-20
00102105,,2016-02-21
00102105,,2016-02-22
00102105,,2016-02-23
00102105,,2016-02-24
00102105,,2016-02-25
00102105,,2016-02-26
00102105,,2016-02-27
00102105,,2016-02-28
00102105,,2016-02-29
00102105,,2016-03-01
00102105,,2016-03-02
00102105,,2016-03-03
00102105,,2016-03-04
00102105,,2016-03-05
00102105,,2016-03-06
00102105,,2016-03-07
00102105,,2016-03-08
00102127,2016-03-07,2016-02-09
00102127,2016-03-08,2016-02-10
00102127,,2016-02-11
00102127,,2016-02-12
00102127,,2016-02-13
00102127,,2016-02-14
00102127,,2016-02-15
00102127,,2016-02-16
00102127,,2016-02-17
00102127,,2016-02-18
00102127,,2016-02-19
00102127,,2016-02-20
00102127,,2016-02-21
00102127,,2016-02-22
00102127,,2016-02-23
00102127,,2016-02-24
00102127,,2016-02-25
00102127,,2016-02-26
00102127,,2016-02-27
00102127,,2016-02-28
00102127,,2016-02-29
00102127,,2016-03-01
00102127,,2016-03-02
00102127,,2016-03-03
00102127,,2016-03-04
00102127,,2016-03-05
00102127,,2016-03-06
00102127,,2016-03-09
0010212D,2016-02-12,2016-02-10
0010212D,,2016-02-11
0010212D,,2016-02-13
0010212D,,2016-02-14
0010212D,,2016-02-15
0010212D,,2016-02-16
0010212D,,2016-02-17
0010212D,,2016-02-18
0010212D,,2016-02-19
0010212D,,2016-02-20
0010212D,,2016-02-21
0010212D,,2016-02-22
0010212D,,2016-02-23
0010212D,,2016-02-24
0010212D,,2016-02-25
0010212D,,2016-02-26
0010212D,,2016-02-27
0010212D,,2016-02-28
0010212D,,2016-02-29
0010212D,,2016-03-01
0010212D,,2016-03-02
0010212D,,2016-03-03
0010212D,,2016-03-04
0010212D,,2016-03-05
0010212D,,2016-03-06
0010212D,,2016-03-07
0010212D,,2016-03-08
00102139,,2016-02-09
00102139,,2016-02-10
00102139,,2016-02-11
00102139,,2016-02-12
00102139,,2016-02-13
00102139,,2016-02-14
00102139,,2016-02-15
00102139,,2016-02-16
00102139,,2016-02-17
00102139,,2016-02-18
00102139,,2016-02-19
00102139,,2016-02-20
00102139,,2016-02-21
00102139,,2016-02-22
00102139,,2016-02-23
00102139,,2016-02-24
00102139,,2016-02-25
00102139,,2016-02-26
00102139,,2016-02-27
00102139,,2016-02-28
00102139,,2016-02-29
00102139,,2016-03-01
00102139,,2016-03-02
00102139,,2016-03-03
00102139,,2016-03-04
00102139,,2016-03-05
00102139,,2016-03-06
00102139,,2016-03-07
00102146,,2016-02-09
00102146,,2016-02-10
00102146,,2016-02-11
00102146,,2016-02-12
00102146,,2016-02-13
00102146,,2016-02-14
00102146,,2016-02-15
00102146,,2016-02-16
00102146,,2016-02-17
00102146,,2016-02-18
00102146,,2016-02-19
00102146,,2016-02-20
00102146,,2016-02-21
00102146,,2016-02-22
00102146,,2016-02-23
00102146,,2016-02-24
00102146,,2016-02-25
00102146,,2016-02-26
00102146,,2016-02-27
00102146,,2016-02-28
00102146,,2016-02-29
00102146,,2016-03-01
0010214C,2016-03-01,2016-02-09
0010214C,2016-03-03,2016-02-10
0010214C,2016-03-04,2016-02-11
0010214C,,2016-02-12
0010214C,,2016-02-13
0010214C,,2016-02-14
0010214C,,2016-02-15
0010214C,,2016-02-16
0010214C,,2016-02-17
0010214C,,2016-02-18
0010214C,,2016-02-19
0010214C,,2016-02-20
0010214C,,2016-02-21
0010214C,,2016-02-22
0010214C,,2016-02-23
0010214C,,2016-02-24
0010214C,,2016-02-25
0010214C,,2016-02-26
0010214C,,2016-02-27
0010214C,,2016-02-28
0010214C,,2016-02-29
0010214C,,2016-03-02
0010214C,,2016-03-05
0010214C,,2016-03-06
0010214C,,2016-03-07
00102168,,2016-02-09
00102168,,2016-02-10
00102168,,2016-02-11
00102168,,2016-02-12
00102168,,2016-02-13
00102168,,2016-02-14
00102168,,2016-02-15
00102168,,2016-02-16
00102168,,2016-02-17
00102168,,2016-02-18
00102168,,2016-02-19
00102168,,2016-02-20
00102168,,2016-02-21
00102168,,2016-02-22
00102168,,2016-02-23
00102168,,2016-02-24
00102168,,2016-02-25
00102168,,2016-02-26
00102168,,2016-02-27
00102168,,2016-02-28
00102168,,2016-02-29
00102168,,2016-03-01
001021A0,,2016-02-13
001021A0,,2016-02-14
001021A0,,2016-02-15
001021A0,,2016-02-16
001021A0,,2016-02-17
001021A0,,2016-02-18
001021A0,,2016-02-19
001021A0,,2016-02-20
001021A0,,2016-02-21
001021A0,,2016-02-22
001021A0,,2016-02-23
001021A0,,2016-02-24
001021A0,,2016-02-25
001021A0,,2016-02-26
001021A0,,2016-02-27
001021A0,,2016-02-28
001021A0,,2016-02-29
001021A0,,2016-03-01
001021A0,,2016-03-02
001021A6,,2016-02-09
001021A6,,2016-02-10
001021A6,,2016-02-11
001021A6,,2016-02-12
001021A6,,2016-02-13
001021A6,,2016-02-14
001021A6,,2016-02-15
001021A6,,2016-02-16
001021A6,,2016-02-17
001021A6,,2016-02-18
001021A6,,2016-02-19
001021A6,,2016-02-20
001021A6,,2016-02-21
001021A6,,2016-02-22
001021A6,,2016-02-23
001021A6,,2016-02-24
001021A6,,2016-02-25
001021A6,,2016-02-26
001021A6,,2016-02-27
001021A6,,2016-02-28
001021A6,,2016-02-29
001021A6,,2016-03-01
001021AC,,2016-02-09
001021AC,,2016-02-10
001021AC,,2016-02-11
001021AC,,2016-02-12
001021AC,,2016-02-13
001021AC,,2016-02-14
001021AC,,2016-02-15
001021AC,,2016-02-16
001021AC,,2016-02-17
001021AC,,2016-02-18
001021AC,,2016-02-19
001021AC,,2016-02-20
001021AC,,2016-02-21
001021AC,,2016-02-22
001021AC,,2016-02-23
001021AC,,2016-02-24
001021AC,,2016-02-25
001021AC,,2016-02-26
001021AC,,2016-02-27
001021AC,,2016-02-28
001021AC,,2016-02-29
001021AC,,2016-03-01
001021AC,,2016-03-02
001021AC,,2016-03-03
001021AC,,2016-03-04
001021AC,,2016-03-05
001021AC,,2016-03-06
001021AC,,2016-03-07
001021AC,,2016-03-08
001021E8,2016-03-09,2016-02-09
001021E8,,2016-02-10
001021E8,,2016-02-11
001021E8,,2016-02-12
001021E8,,2016-02-13
001021E8,,2016-02-14
001021E8,,2016-02-15
001021E8,,2016-02-16
001021E8,,2016-02-17
001021E8,,2016-02-18
001021E8,,2016-02-19
001021E8,,2016-02-20
001021E8,,2016-02-21
001021E8,,2016-02-22
001021E8,,2016-02-23
001021E8,,2016-02-24
001021E8,,2016-02-25
001021E8,,2016-02-26
001021E8,,2016-02-27
001021E8,,2016-02-28
001021E8,,2016-02-29
001021E8,,2016-03-01
001021E8,,2016-03-02
001021E8,,2016-03-03
001021E8,,2016-03-04
001021E8,,2016-03-05
001021E8,,2016-03-06
001021E8,,2016-03-07
001021E8,,2016-03-08
0010225A,,2016-02-14
0010225A,,2016-02-15
0010225A,,2016-02-16
0010225A,,2016-02-17
0010225A,,2016-02-18
0010225A,,2016-02-19
0010225A,,2016-02-20
0010225A,,2016-02-21
0010225A,,2016-02-22
0010225A,,2016-02-23
0010225A,,2016-02-24
0010225A,,2016-02-25
0010225A,,2016-02-26
0010225A,,2016-02-27
0010225A,,2016-02-28
0010225A,,2016-02-29
0010225A,,2016-03-01
0010225A,,2016-03-02
0010225A,,2016-03-03
0010225A,,2016-03-04
0010225E,2016-02-12,2016-02-09
0010225E,2016-03-09,2016-02-10
0010225E,,2016-02-11
0010225E,,2016-02-13
0010225E,,2016-02-14
0010225E,,2016-02-15
0010225E,,2016-02-16
0010225E,,2016-02-17
0010225E,,2016-02-18
0010225E,,2016-02-19
0010225E,,2016-02-20
0010225E,,2016-02-21
0010225E,,2016-02-22
0010225E,,2016-02-23
0010225E,,2016-02-24
0010225E,,2016-02-25
0010225E,,2016-02-26
0010225E,,2016-02-27
0010225E,,2016-02-28
0010225E,,2016-02-29
0010225E,,2016-03-01
0010225E,,2016-03-02
0010225E,,2016-03-03
0010225E,,2016-03-04
0010225E,,2016-03-05
0010225E,,2016-03-06
0010225E,,2016-03-07
0010225E,,2016-03-08
001022D6,2016-02-09,2016-02-10
001022D6,2016-02-12,2016-02-11
001022D6,2016-02-13,2016-02-14
001022D6,,2016-02-15
001022D6,,2016-02-16
001022D6,,2016-02-17
001022D6,,2016-02-18
001022D6,,2016-02-19
001022D6,,2016-02-20
001022D6,,2016-02-21
001022D6,,2016-02-22
001022D6,,2016-02-23
001022D6,,2016-02-24
001022D6,,2016-02-25
001022D6,,2016-02-26
001022D6,,2016-02-27
001022D6,,2016-02-28
00102311,2016-02-11,2016-02-09
00102311,2016-02-13,2016-02-10
00102311,2016-02-14,2016-02-12
00102311,2016-02-15,2016-02-16
00102311,2016-03-04,2016-02-17
00102311,2016-03-06,2016-02-18
00102311,,2016-02-19
00102311,,2016-02-20
00102311,,2016-02-21
00102311,,2016-02-22
00102311,,2016-02-23
00102311,,2016-02-24
00102311,,2016-02-25
00102311,,2016-02-26
00102311,,2016-02-27
00102311,,2016-02-28
00102311,,2016-02-29
00102311,,2016-03-01
00102311,,2016-03-02
00102311,,2016-03-03
00102311,,2016-03-05
00102311,,2016-03-07
00102311,,2016-03-08
0010237D,2016-02-15,2016-02-10
0010237D,2016-02-22,2016-02-11
0010237D,2016-02-26,2016-02-12
0010237D,2016-02-29,2016-02-13
0010237D,2016-03-01,2016-02-14
0010237D,2016-03-04,2016-02-16
0010237D,2016-03-06,2016-02-17
0010237D,2016-03-07,2016-02-18
0010237D,2016-03-08,2016-02-19
0010237D,2016-03-09,2016-02-20
0010237D,,2016-02-21
0010237D,,2016-02-23
0010237D,,2016-02-24
0010237D,,2016-02-25
0010237D,,2016-02-27
0010237D,,2016-02-28
0010237D,,2016-03-02
0010237D,,2016-03-03
0010237D,,2016-03-05
00102385,2016-02-10,2016-02-09
00102385,2016-02-11,2016-02-12
00102385,2016-02-13,2016-02-21
00102385,2016-02-14,2016-02-24
00102385,2016-02-15,2016-03-08
00102385,2016-02-16,
00102385,2016-02-17,
00102385,2016-02-18,
00102385,2016-02-19,
00102385,2016-02-20,
00102385,2016-02-22,
00102385,2016-02-23,
00102385,2016-02-25,
00102385,2016-02-26,
00102385,2016-02-27,
00102385,2016-02-28,
00102385,2016-02-29,
00102385,2016-03-01,
00102385,2016-03-02,
00102385,2016-03-03,
00102385,2016-03-04,
00102385,2016-03-05,
00102385,2016-03-06,
00102385,2016-03-07,
001023FE,2016-02-09,2016-02-10
001023FE,2016-02-11,2016-02-15
001023FE,2016-02-12,2016-02-16
001023FE,2016-02-13,2016-02-22
001023FE,2016-02-14,2016-02-29
001023FE,2016-02-17,
001023FE,2016-02-18,
001023FE,2016-02-19,
001023FE,2016-02-20,
001023FE,2016-02-21,
001023FE,2016-02-23,
001023FE,2016-02-24,
001023FE,2016-02-25,
001023FE,2016-02-26,
001023FE,2016-02-27,
001023FE,2016-02-28,
001023FE,2016-03-01,
001023FE,2016-03-02,
001023FE,2016-03-03,
001023FE,2016-03-04,
001023FE,2016-03-05,
001023FE,2016-03-06,
001023FE,2016-03-07,
001023FE,2016-03-08,
0010241C,2016-02-20,2016-02-10
0010241C,2016-02-27,2016-02-11
0010241C,2016-03-09,2016-02-12
0010241C,,2016-02-13
0010241C,,2016-02-14
0010241C,,2016-02-15
0010241C,,2016-02-16
0010241C,,2016-02-17
0010241C,,2016-02-18
0010241C,,2016-02-19
0010241C,,2016-02-21
0010241C,,2016-02-22
0010241C,,2016-02-23
0010241C,,2016-02-24
0010241C,,2016-02-25
0010241C,,2016-02-26
0010241C,,2016-02-28
0010241C,,2016-02-29
0010241C,,2016-03-01
0010241C,,2016-03-02
0010241C,,2016-03-03
0010241C,,2016-03-04
0010241C,,2016-03-05
0010241C,,2016-03-06
0010241C,,2016-03-07
0010241C,,2016-03-08
00102463,,2016-02-12
00102463,,2016-02-13
00102463,,2016-02-14
00102463,,2016-02-15
00102463,,2016-02-16
00102463,,2016-02-17
00102463,,2016-02-18
00102463,,2016-02-19
00102463,,2016-02-20
00102463,,2016-02-21
00102463,,2016-02-22
00102463,,2016-02-23
00102463,,2016-02-24
00102463,,2016-02-25
00102463,,2016-02-26
00102463,,2016-02-27
00102463,,2016-02-28
00102463,,2016-02-29
00102463,,2016-03-01
00102463,,2016-03-02
00102463,,2016-03-03
00102463,,2016-03-04
00102645,2016-02-10,2016-02-16
00102645,2016-02-11,2016-02-17
00102645,2016-02-12,
00102645,2016-02-13,
00102645,2016-02-14,
00102645,2016-02-15,
00102645,2016-02-18,
00102645,2016-02-19,
00102645,2016-02-20,
00102645,2016-02-21,
00102645,2016-02-22,
00102645,2016-02-23,
00102645,2016-02-24,
00102645,2016-02-25,
00102645,2016-02-26,
00102645,2016-02-27,
00102645,2016-02-28,
00102645,2016-02-29,
00102645,2016-03-01,
00102645,2016-03-02,
00102645,2016-03-03,
00102645,2016-03-04,
00102645,2016-03-05,
00102645,2016-03-06,
00102645,2016-03-07,
00102645,2016-03-08,
001026A8,,2016-02-09
001026A8,,2016-02-10
001026A8,,2016-02-11
001026A8,,2016-02-12
001026A8,,2016-02-13
001026A8,,2016-02-14
001026A8,,2016-02-15
001026A8,,2016-02-16
001026A8,,2016-02-17
001026A8,,2016-02-18
001026A8,,2016-02-19
001026A8,,2016-02-20
001026A8,,2016-02-21
001026A8,,2016-02-22
001026A8,,2016-02-23
001026A8,,2016-02-24
001026A8,,2016-02-25
001026A8,,2016-02-26
001026A8,,2016-02-27
001026A8,,2016-02-28
001026A8,,2016-02-29
001026A8,,2016-03-01
001026A8,,2016-03-02
001026A8,,2016-03-03
001026A8,,2016-03-04
001026A8,,2016-03-05
001026A8,,2016-03-06
00102820,,2016-02-18
00102820,,2016-02-19
00102820,,2016-02-20
00102820,,2016-02-21
00102820,,2016-02-22
00102820,,2016-02-23
00102820,,2016-02-24
00102820,,2016-02-25
00102820,,2016-02-26
00102820,,2016-02-27
00102820,,2016-02-28
00102820,,2016-02-29
00102820,,2016-03-01
00102820,,2016-03-02
00102820,,2016-03-03
00102820,,2016-03-04
00102820,,2016-03-05
00102820,,2016-03-06
00102820,,2016-03-07
00102820,,2016-03-08
0010282F,2016-03-09,2016-02-09
0010282F,,2016-02-10
0010282F,,2016-02-11
0010282F,,2016-02-12
0010282F,,2016-02-13
0010282F,,2016-02-14
0010282F,,2016-02-15
0010282F,,2016-02-16
0010282F,,2016-02-17
0010282F,,2016-02-18
0010282F,,2016-02-19
0010282F,,2016-02-20
0010282F,,2016-02-21
0010282F,,2016-02-22
0010282F,,2016-02-23
0010282F,,2016-02-24
0010282F,,2016-02-25
0010282F,,2016-02-26
0010282F,,2016-02-27
0010282F,,2016-02-28
0010282F,,2016-02-29
0010282F,,2016-03-01
0010282F,,2016-03-02
0010282F,,2016-03-03
0010282F,,2016-03-04
0010282F,,2016-03-05
0010282F,,2016-03-06
0010282F,,2016-03-07
0010282F,,2016-03-08
00102831,,2016-02-09
00102831,,2016-02-10
00102831,,2016-02-11
00102831,,2016-02-12
00102831,,2016-02-13
00102831,,2016-02-14
00102831,,2016-02-15
00102831,,2016-02-16
00102831,,2016-02-17
00102831,,2016-02-18
00102831,,2016-02-19
00102831,,2016-02-20
00102831,,2016-02-21
00102831,,2016-02-22
00102831,,2016-02-23
00102831,,2016-02-24
00102831,,2016-02-25
00102831,,2016-02-26
00102831,,2016-02-27
00102831,,2016-02-28
00102831,,2016-02-29
00102831,,2016-03-01
00102831,,2016-03-02
00102831,,2016-03-03
00102831,,2016-03-04
00102831,,2016-03-05
00102831,,2016-03-06
00102831,,2016-03-07
00102831,,2016-03-08
00102831,,2016-03-09
0010287D,2016-02-09,2016-03-03
0010287D,2016-02-10,2016-03-07
0010287D,2016-02-11,
0010287D,2016-02-12,
0010287D,2016-02-13,
0010287D,2016-02-14,
0010287D,2016-02-15,
0010287D,2016-02-16,
0010287D,2016-02-17,
0010287D,2016-02-18,
0010287D,2016-02-19,
0010287D,2016-02-20,
0010287D,2016-02-21,
0010287D,2016-02-22,
0010287D,2016-02-23,
0010287D,2016-02-24,
0010287D,2016-02-25,
0010287D,2016-02-26,
0010287D,2016-02-27,
0010287D,2016-02-28,
0010287D,2016-02-29,
0010287D,2016-03-01,
0010287D,2016-03-02,
0010287D,2016-03-04,
0010287D,2016-03-05,
0010287D,2016-03-06,
0010287D,2016-03-08,
0010287D,2016-03-09,
00102893,2016-02-09,2016-02-23
00102893,2016-02-10,2016-02-27
00102893,2016-02-11,2016-03-08
00102893,2016-02-12,
00102893,2016-02-13,
00102893,2016-02-14,
00102893,2016-02-15,
00102893,2016-02-16,
00102893,2016-02-17,
00102893,2016-02-18,
00102893,2016-02-19,
00102893,2016-02-20,
00102893,2016-02-21,
00102893,2016-02-22,
00102893,2016-02-24,
00102893,2016-02-25,
00102893,2016-02-26,
00102893,2016-02-28,
00102893,2016-02-29,
00102893,2016-03-01,
00102893,2016-03-02,
00102893,2016-03-03,
00102893,2016-03-04,
00102893,2016-03-05,
00102893,2016-03-06,
00102893,2016-03-07,
00102893,2016-03-09,
001029C0,,2016-02-10
001029C0,,2016-02-11
001029C0,,2016-02-12
001029C0,,2016-02-13
001029C0,,2016-02-14
001029C0,,2016-02-15
001029C0,,2016-02-16
001029C0,,2016-02-17
001029C0,,2016-02-18
001029C0,,2016-02-19
001029C0,,2016-02-20
001029C0,,2016-02-21
001029C0,,2016-02-22
001029C0,,2016-02-23
001029C0,,2016-02-24
001029C0,,2016-02-25
001029C0,,2016-02-26
001029C0,,2016-02-27
001029C0,,2016-02-28
001029C0,,2016-02-29
001029C0,,2016-03-01
001029C0,,2016-03-02
001029C0,,2016-03-03
001029C0,,2016-03-04
001029C0,,2016-03-05
001029C0,,2016-03-06
001029C0,,2016-03-07
001029C0,,2016-03-08
001029C0,,2016-03-09
00102A3B,2016-02-11,2016-02-12
00102A3B,2016-02-20,2016-02-13
00102A3B,2016-02-21,2016-02-14
00102A3B,2016-03-04,2016-02-15
00102A3B,2016-03-09,2016-02-16
00102A3B,,2016-02-17
00102A3B,,2016-02-18
00102A3B,,2016-02-19
00102A3B,,2016-02-22
00102A3B,,2016-02-23
00102A3B,,2016-02-24
00102A3B,,2016-02-25
00102A3B,,2016-02-26
00102A3B,,2016-02-27
00102A3B,,2016-02-28
00102A3B,,2016-02-29
00102A3B,,2016-03-01
00102A3B,,2016-03-02
00102A3B,,2016-03-03
00102A3B,,2016-03-05
00102A3B,,2016-03-06
00102A3B,,2016-03-07
00102A3B,,2016-03-08
00102A64,,2016-02-09
00102A64,,2016-02-10
00102A64,,2016-02-11
00102A64,,2016-02-12
00102A64,,2016-02-13
00102A64,,2016-02-14
00102A64,,2016-02-15
00102A64,,2016-02-16
00102A64,,2016-02-17
00102A64,,2016-02-18
00102A64,,2016-02-19
00102A64,,2016-02-20
00102A64,,2016-02-21
00102A64,,2016-02-22
00102A64,,2016-02-23
00102A64,,2016-02-24
00102A64,,2016-02-25
00102A64,,2016-02-26
00102A64,,2016-02-27
00102A64,,2016-02-28
00102A64,,2016-02-29
00102A64,,2016-03-01
00102A64,,2016-03-02
00102A64,,2016-03-03
00102A64,,2016-03-04
00102A64,,2016-03-05
00102A64,,2016-03-06
00102A6C,,2016-02-09
00102A6C,,2016-02-10
00102A6C,,2016-02-11
00102A6C,,2016-02-12
00102A6C,,2016-02-13
00102A6C,,2016-02-14
00102A6C,,2016-02-15
00102A6C,,2016-02-16
00102A6C,,2016-02-17
00102A6C,,2016-02-18
00102A6C,,2016-02-19
00102A6C,,2016-02-20
00102A6C,,2016-02-21
00102A6C,,2016-02-22
00102A6C,,2016-02-23
00102A6C,,2016-02-24
00102A6C,,2016-02-25
00102A6C,,2016-02-26
00102A6C,,2016-02-27
00102A6C,,2016-02-28
00102A6C,,2016-02-29
00102A6C,,2016-03-01
00102A6C,,2016-03-02
00102A6C,,2016-03-03
00102A6C,,2016-03-04
00102A6C,,2016-03-05
00102A6C,,2016-03-06
00102A6C,,2016-03-07
00102AC9,2016-02-20,2016-02-09
00102AC9,2016-02-23,2016-02-10
00102AC9,2016-02-26,2016-02-11
00102AC9,2016-02-27,2016-02-12
00102AC9,2016-02-28,2016-02-13
00102AC9,2016-02-29,2016-02-14
00102AC9,2016-03-01,2016-02-15
00102AC9,2016-03-03,2016-02-16
00102AC9,2016-03-06,2016-02-17
00102AC9,2016-03-07,2016-02-18
00102AC9,,2016-02-19
00102AC9,,2016-02-21
00102AC9,,2016-02-22
00102AC9,,2016-02-24
00102AC9,,2016-02-25
00102AC9,,2016-03-02
00102AC9,,2016-03-04
00102AC9,,2016-03-05
00102AC9,,2016-03-08
00102AEC,,2016-02-09
00102AEC,,2016-02-10
00102AEC,,2016-02-11
00102AEC,,2016-02-12
00102AEC,,2016-02-13
00102AEC,,2016-02-14
00102AEC,,2016-02-15
00102AEC,,2016-02-16
00102AEC,,2016-02-17
00102AEC,,2016-02-18
00102AEC,,2016-02-19
00102AEC,,2016-02-20
00102AEC,,2016-02-21
00102AEC,,2016-02-22
00102AEC,,2016-02-23
00102AEC,,2016-02-24
00102AEC,,2016-02-25
00102AEC,,2016-02-26
00102AEC,,2016-02-27
00102AEC,,2016-02-28
00102AEC,,2016-02-29
00102AEC,,2016-03-01
00102AEC,,2016-03-02
00102AEC,,2016-03-03
00102AEC,,2016-03-04
00102AEC,,2016-03-05
00102AEC,,2016-03-06
00102AEC,,2016-03-07
00102B72,,2016-02-11
00102B72,,2016-02-12
00102B72,,2016-02-13
00102B72,,2016-02-14
00102B72,,2016-02-15
00102B72,,2016-02-16
00102B72,,2016-02-17
00102B72,,2016-02-18
00102B72,,2016-02-19
00102B72,,2016-02-20
00102B72,,2016-02-21
00102B72,,2016-02-22
00102B72,,2016-02-23
00102B72,,2016-02-24
00102B72,,2016-02-25
00102B72,,2016-02-26
00102B72,,2016-02-27
00102B72,,2016-02-28
00102B72,,2016-02-29
00102B72,,2016-03-01
00102B72,,2016-03-02
00102B72,,2016-03-03
00102B72,,2016-03-04
00102B72,,2016-03-05
00102B72,,2016-03-06
00102B72,,2016-03-07
00102B72,,2016-03-08
00102B72,,2016-03-09
00102B80,,2016-02-09
00102B80,,2016-02-10
00102B80,,2016-02-11
00102B80,,2016-02-12
00102B80,,2016-02-13
00102B80,,2016-02-14
00102B80,,2016-02-15
00102B80,,2016-02-16
00102B80,,2016-02-17
00102B80,,2016-02-18
00102B80,,2016-02-19
00102B80,,2016-02-20
00102B80,,2016-02-21
00102B80,,2016-02-22
00102B80,,2016-02-23
00102B80,,2016-02-24
00102B80,,2016-02-25
00102B80,,2016-02-26
00102B80,,2016-02-27
00102B80,,2016-02-28
00102B80,,2016-02-29
00102B80,,2016-03-01
00102B80,,2016-03-02
00102B80,,2016-03-03
00102B80,,2016-03-04
00102B80,,2016-03-05
00102B80,,2016-03-06
00102B80,,2016-03-07
00102B80,,2016-03-08
00102B81,,2016-02-09
00102B81,,2016-02-10
00102B81,,2016-02-11
00102B81,,2016-02-12
00102B81,,2016-02-13
00102B81,,2016-02-14
00102B81,,2016-02-15
00102B81,,2016-02-16
00102B81,,2016-02-17
00102B81,,2016-02-18
00102B81,,2016-02-19
00102B81,,2016-02-20
00102B81,,2016-02-21
00102B81,,2016-02-22
00102B81,,2016-02-23
00102B81,,2016-02-24
00102B81,,2016-02-25
00102B81,,2016-02-26
00102B81,,2016-02-27
00102B81,,2016-02-28
00102B81,,2016-02-29
00102B81,,2016-03-01
00102B81,,2016-03-02
00102B81,,2016-03-03
00102B81,,2016-03-04
00102B81,,2016-03-05
00102B81,,2016-03-06
00102B81,,2016-03-07
00102B81,,2016-03-08
00102B8F,2016-02-13,2016-02-09
00102B8F,2016-02-24,2016-02-10
00102B8F,2016-02-29,2016-02-11
00102B8F,2016-03-02,2016-02-12
00102B8F,2016-03-06,2016-02-14
00102B8F,,2016-02-15
00102B8F,,2016-02-16
00102B8F,,2016-02-17
00102B8F,,2016-02-18
00102B8F,,2016-02-19
00102B8F,,2016-02-20
00102B8F,,2016-02-21
00102B8F,,2016-02-22
00102B8F,,2016-02-23
00102B8F,,2016-02-25
00102B8F,,2016-02-26
00102B8F,,2016-02-27
00102B8F,,2016-02-28
00102B8F,,2016-03-01
00102B8F,,2016-03-03
00102B8F,,2016-03-04
00102B8F,,2016-03-05
00102B8F,,2016-03-07
00102BA3,2016-03-09,2016-02-13
00102BA3,,2016-02-14
00102BA3,,2016-02-15
