Meter,Days Connected,Days Disconnected
0010049C,2016-02-16,2016-03-07
0010049C,2016-02-17,
0010049C,2016-02-18,
0010049C,2016-02-19,
0010049C,2016-02-21,
0010049C,2016-02-22,
0010049C,2016-02-23,
0010049C,2016-02-24,
0010049C,2016-02-25,
0010049C,2016-02-26,
0010049C,2016-02-27,
0010049C,2016-02-28,
0010049C,2016-02-29,
0010049C,2016-03-01,
0010049C,2016-03-02,
0010049C,2016-03-03,
0010049C,2016-03-04,
0010049C,2016-03-08,
001004DC,2016-02-09,2016-02-10
001004DC,2016-02-12,2016-02-11
001004DC,2016-02-13,
001004DC,2016-02-14,
001004DC,2016-02-15,
001004DC,2016-02-16,
001004DC,2016-02-17,
001004DC,2016-02-18,
001004DC,2016-02-19,
001004DC,2016-02-20,
001004DC,2016-02-21,
001004DC,2016-02-22,
001004DC,2016-02-23,
001004DC,2016-02-24,
001004DC,2016-02-25,
001004DC,2016-02-26,
001004DC,2016-02-27,
001004DC,2016-02-28,
001004DC,2016-02-29,
001004DC,2016-03-01,
001004DC,2016-03-02,
001004DC,2016-03-03,
001004DC,2016-03-04,
001004DC,2016-03-05,
001004DC,2016-03-06,
001004DC,2016-03-07,
001004DC,2016-03-08,
0010051D,,2016-02-09
0010051D,,2016-02-10
0010051D,,2016-02-11
0010051D,,2016-02-12
0010051D,,2016-02-13
0010051D,,2016-02-14
0010051D,,2016-02-15
0010051D,,2016-02-16
0010051D,,2016-02-17
0010051D,,2016-02-18
0010051D,,2016-02-19
0010051D,,2016-02-20
0010051D,,2016-02-21
0010051D,,2016-02-22
0010051D,,2016-02-23
0010051D,,2016-02-24
0010051D,,2016-02-25
0010051D,,2016-02-26
0010051D,,2016-02-27
0010051D,,2016-02-28
0010051D,,2016-02-29
0010051D,,2016-03-01
0010051D,,2016-03-02
0010051D,,2016-03-03
0010051D,,2016-03-04
0010051D,,2016-03-05
0010051D,,2016-03-06
0010051D,,2016-03-07
0010051D,,2016-03-08
0010052E,2016-02-12,2016-02-13
0010052E,2016-02-15,2016-02-14
0010052E,2016-02-19,2016-02-16
0010052E,2016-02-20,2016-02-17
0010052E,2016-02-26,2016-02-18
0010052E,2016-03-01,2016-02-21
0010052E,,2016-02-22
0010052E,,2016-02-23
0010052E,,2016-02-24
0010052E,,2016-02-25
0010052E,,2016-02-27
0010052E,,2016-02-28
0010052E,,2016-02-29
0010052E,,2016-03-02
00100546,2016-02-17,2016-02-09
00100546,2016-02-19,2016-02-10
00100546,2016-02-20,2016-02-11
00100546,2016-02-23,2016-02-12
00100546,2016-02-24,2016-02-13
00100546,2016-02-25,2016-02-14
00100546,2016-02-26,2016-02-15
00100546,2016-02-29,2016-02-16
00100546,2016-03-01,2016-02-18
00100546,2016-03-03,2016-02-21
00100546,2016-03-05,2016-02-22
00100546,2016-03-06,2016-02-27
00100546,2016-03-08,2016-02-28
00100546,,2016-03-02
00100546,,2016-03-04
00100546,,2016-03-07
001005BA,2016-02-09,2016-02-12
001005BA,2016-02-10,2016-02-13
001005BA,2016-02-11,2016-02-14
001005BA,2016-02-17,2016-02-15
001005BA,2016-02-18,2016-02-16
001005BA,2016-02-19,
001005BA,2016-02-20,
001005BA,2016-02-21,
001005BA,2016-02-22,
001005BA,2016-02-23,
001005BA,2016-02-24,
001005BA,2016-02-25,
001005BA,2016-02-26,
001005BA,2016-02-27,
001005BA,2016-02-28,
001005BA,2016-02-29,
001005BA,2016-03-01,
001005BA,2016-03-02,
001005BA,2016-03-03,
001005BA,2016-03-04,
001005BA,2016-03-05,
001005BA,2016-03-06,
001005BA,2016-03-07,
001005BA,2016-03-08,
001005CC,2016-03-09,2016-02-09
001005CC,,2016-02-10
001005CC,,2016-02-11
001005CC,,2016-02-12
001005CC,,2016-02-13
001005CC,,2016-02-14
001005CC,,2016-02-15
001005CC,,2016-02-16
001005CC,,2016-02-17
001005CC,,2016-02-18
001005CC,,2016-02-19
001005CC,,2016-02-20
001005CC,,2016-02-21
001005CC,,2016-02-22
001005CC,,2016-02-23
001005CC,,2016-02-24
001005CC,,2016-02-25
